,,Total Monthly Income Amount,Total Monthly Income Amount
,,mean,median
Year,State,,
2021,Washington,13566.52380952381,12302.0
2021,West Virginia,11189.073825503356,8029.0
2021,Wisconsin,8450.05353075171,6813.5
2021,Wyoming,8529.625,7918.0
2022,Alabama,11309.684931506848,10357.5
2022,Alaska,20329.0,20329.0
2022,Arizona,16115.223300970874,11250.0
2022,Arkansas,11538.316363636364,8797.0
2022,California,16371.957746478873,13328.0
2022,Colorado,10365.670833333334,8178.0
2022,Connecticut,10408.19512195122,8460.0
2022,Delaware,14949.813953488372,11253.0
2022,District of Columbia,14757.0,14540.5
2022,Florida,16515.83243243243,12590.0
2022,Georgia,13399.751515151514,11413.0
2022,Hawaii,17070.666666666668,15495.0
2022,Idaho,10682.568539325843,9167.0
2022,Illinois,8151.96123306866,6496.0
2022,Indiana,9686.885189437427,7996.0
2022,Iowa,7961.249027237354,6874.0
2022,Kansas,9440.266666666666,7842.5
2022,Kentucky,12795.044444444444,8289.5
2022,Louisiana,13267.804347826086,8683.5
2022,Maine,13273.171428571428,11255.0
2022,Maryland,14026.308823529413,11455.0
2022,Massachusetts,11620.122222222222,10150.0
2022,Michigan,11102.034703196347,9259.0
2022,Minnesota,11037.931766489764,9237.0
2022,Mississippi,10228.756756756757,8025.5
2022,Missouri,10108.918003565062,7893.5
2022,Montana,13442.133333333333,10570.0
2022,Nebraska,9546.881773399014,7765.0
2022,Nevada,11718.081081081082,10193.0
2022,New Hampshire,16230.857142857143,12739.0
2022,New Jersey,13179.358208955224,11245.5
2022,New Mexico,16500.703296703297,12097.0
2022,New York,13774.846534653465,10203.5
2022,North Carolina,12162.5,10085.5
2022,North Dakota,9438.68918918919,8292.5
2022,Ohio,9982.622876557192,8459.0
2022,Oklahoma,9455.968609865471,8262.0
2022,Oregon,9088.644688644688,7843.0
2022,Pennsylvania,10472.831831831832,8581.5
2022,Rhode Island,9915.829268292682,8981.0
2022,South Carolina,15709.8031496063,12802.0
2022,South Dakota,12984.2734375,8586.0
2022,Tennessee,11534.141993957704,10282.0
2022,Texas,12888.596153846154,10620.5
2022,Utah,10902.21875,9968.5
2022,Vermont,14107.564102564103,7816.0
2022,Virginia,12389.782258064517,10833.0
2022,Washington,13624.416666666666,11014.5
2022,West Virginia,12675.554347826086,10369.0
2022,Wisconsin,8992.10112911144,7559.0
2022,Wyoming,9042.923076923076,8430.0
